Title,Studio,Genre,Rating,Release Date,DTR,Day of Week,OBO,Organic Conversation,Organic Intent,Humor,Group Dynamic,Paid Push,Twitter Mentions,Facebook PTAT,Wikipedia Desktop,Wikipedia All,YouTube Views,Theater Count,Holiday
Unbroken: Path to Redemption,Pure Flix Entertainment,Human Interest Drama,PG-13,9/14/2018,1,Fri,2238723,1249,164,18,2,180,2776,129033,53889,140701,1187791,1620,
White Boy Rick,Sony Pictures,Human Interest Drama,R,9/14/2018,1,Fri,8860431,3844,799,111,75,542,8033,57983,375882,1372062,4343122,2504,
Assassination Nation,Neon,Suspense/Thriller,R,9/21/2018,1,Fri,1050021,6089,285,91,6,964,8199,11489,137348,355217,39559962,1403,
The House with a Clock in Its Walls,Universal,Family,PG,9/21/2018,1,Fri,26608020,4664,622,207,28,698,9763,55117,206228,503593,21551972,3592,
Life Itself (2018),Amazon Studios,Romantic Drama,R,9/21/2018,1,Fri,2123463,3540,300,189,18,905,5708,31027,139829,381763,25396535,2609,
Hell Fest,Lionsgate Films,Horror,R,9/28/2018,1,Fri,5130963,1764,310,64,19,480,4958,62949,46183,122050,10261508,2297,
Night School (2018),Universal,Human Interest Comedy,PG-13,9/28/2018,1,Fri,27257615,4978,792,1090,16,1152,8703,31012,103509,260414,40409302,3010,
Smallfoot,Warner Bros.,Family,PG,9/28/2018,1,Fri,23045635,9135,1322,515,28,2895,35917,39744,163001,379128,50860296,4131,
Little Women (2018),Pinnacle Peak,Human Interest Drama,PG-13,9/28/2018,1,Fri,705063,570,98,32,5,290,1016,12860,13089,35739,2378295,643,
A Star is Born (2018),Warner Bros.,Human Interest Drama,R,10/5/2018,1,Fri,42908051,41354,7527,1344,349,6347,179760,239850,891346,2844993,56326201,3686,
Venom (2018),Sony Pictures,Action Adventure,PG-13,10/5/2018,1,Fri,80255756,146748,17999,7661,1448,9346,195237,185522,1607234,4268040,429977209,4250,
